order_id,customer_id,staff_id,coupon_code,delivery_pincode,order_date,order_time,payment_method,delivery_status,promised_delivery_time,actual_delivery_time,total_amount
111,447,19,,247232,2026-06-26,Morning,UPI,Delivered,45,59,222.55
112,425,10,,249401,2026-04-14,Evening,COD,Delivered,45,47,166.85
113,218,4,,247001,2026-05-07,Evening,UPI,Delivered,45,25,647.95
114,100,11,,249401,2026-05-23,Other,UPI,Delivered,45,21,371.38
115,341,8,,251002,2026-06-22,Evening,COD,Delivered,45,45,764.57
116,143,8,FESTIVE15,251002,2026-06-03,Evening,UPI,Delivered,45,29,337.21
117,397,1,,250001,2026-06-20,Evening,UPI,Delivered,45,31,372.38
118,373,5,,251003,2026-04-18,Morning,UPI,Delivered,45,15,242.24
119,171,19,EXPIRED5,247661,2026-06-11,Evening,UPI,Delivered,45,42,697.17
120,424,18,,251003,2026-06-13,Evening,COD,Delivered,45,26,721.67
121,231,12,,250001,2026-06-22,Evening,COD,Delivered,45,49,154.48
122,433,1,,249401,2026-06-23,Other,UPI,Delivered,45,43,981.41
123,175,20,FLAT75,250001,2026-06-14,Afternoon,UPI,Delivered,45,28,796.76
124,116,8,,247001,2026-05-17,Evening,UPI,Delivered,45,29,464.79
125,217,9,GYM20,247667,2026-05-07,Other,COD,Delivered,45,22,222.55
126,275,13,,251002,2026-06-28,Afternoon,COD,Delivered,45,23,593.56
127,169,10,FESTIVE15,250002,2026-06-25,Other,UPI,Delivered,45,34,391.75
128,194,4,EXPIRED5,249401,2026-05-08,Afternoon,COD,Delivered,45,63,1245.05
129,472,18,,249401,2026-06-11,Morning,COD,Delivered,45,33,344.58
130,472,12,,251001,2026-06-20,Evening,UPI,Cancelled,45,36,553.14
131,447,19,,251002,2026-06-05,Morning,UPI,Cancelled,45,48,758.86
132,40,18,,247232,2026-06-02,Other,UPI,Delivered,45,35,277.83
133,145,13,,251003,2026-06-26,Evening,UPI,Delivered,45,21,464.79
134,178,10,,248003,2026-06-27,Other,UPI,Delivered,45,26,154.48
135,1,16,,247661,2026-06-28,Evening,UPI,Delivered,45,39,713.85
136,10,4,,247001,2026-06-25,Morning,UPI,Delivered,45,43,242.24
137,132,4,,247004,2026-06-16,Evening,COD,Delivered,45,56,235.14
138,472,1,,251003,2026-06-27,Morning,UPI,Delivered,45,55,484.48
139,268,15,,250001,2026-06-29,Afternoon,UPI,Out for Delivery,45,48,871.76
140,56,13,,248003,2026-06-18,Afternoon,COD,Delivered,45,16,726.72
141,487,20,LOYALTY50,247232,2026-06-25,Morning,UPI,Cancelled,45,29,192.24
142,229,8,,247667,2026-05-03,Morning,COD,Delivered,45,60,371.38
143,403,1,,247661,2026-06-03,Evening,COD,Delivered,45,35,742.76
144,476,14,,250001,2026-05-13,Evening,COD,Delivered,45,52,431.05
145,279,20,PROTEIN25,251002,2026-06-18,Afternoon,UPI,Cancelled,45,37,242.24
146,353,14,,248003,2026-06-28,Morning,UPI,Delivered,45,27,344.58
147,394,11,,247232,2026-06-02,Other,COD,Delivered,45,28,222.55
148,82,16,LOYALTY50,250001,2026-06-26,Afternoon,UPI,Delivered,45,45,192.24
149,53,18,,251003,2026-06-21,Evening,COD,Delivered,45,45,1105.58
150,439,2,,249402,2026-06-28,Morning,UPI,Delivered,45,32,1274.68
151,270,19,,251003,2026-06-28,Morning,COD,Delivered,45,15,242.24
152,402,16,,251002,2026-06-04,Other,COD,Delivered,45,44,742.76
153,447,14,,250002,2026-06-20,Evening,COD,Delivered,45,30,371.38
154,37,6,FESTIVE15,247232,2026-06-22,Morning,UPI,Delivered,45,38,242.24
155,39,16,NEWYEAR100,247232,2026-06-17,Evening,UPI,Delivered,45,45,308.96
156,253,18,,247004,2026-05-18,Evening,UPI,Delivered,45,49,175.66
157,453,19,,250001,2026-06-13,Morning,COD,Delivered,45,40,445.1
158,341,12,,247003,2026-06-28,Evening,UPI,Delivered,45,44,218.64
159,424,5,MONTHLY200,247661,2026-06-14,Morning,COD,Delivered,45,26,277.83
160,126,4,,249401,2026-06-25,Morning,COD,Delivered,45,54,555.66
161,496,20,NEWYEAR100,247003,2026-05-12,Afternoon,UPI,Delivered,45,44,371.38
162,69,9,,249402,2026-06-14,Evening,UPI,Cancelled,45,30,627.89
163,305,10,,249401,2026-06-29,Morning,COD,Cancelled,45,49,220.9
164,255,8,,247001,2026-06-15,Evening,UPI,Delivered,45,58,396.56
165,322,9,,250001,2026-06-18,Other,UPI,Delivered,45,42,742.76
166,152,2,SUMMER10,247004,2026-04-17,Afternoon,UPI,Delivered,45,52,334.24
167,91,12,,249401,2026-05-06,Evening,UPI,Delivered,45,43,276.57
168,158,5,SUMMER10,249401,2026-06-25,Other,UPI,Delivered,45,43,587.74
169,329,15,FIRST50,251003,2026-05-01,Morning,UPI,Delivered,45,15,881.44
170,42,14,FLAT75,247004,2026-04-18,Evening,COD,Delivered,45,42,957.56
171,372,12,,251002,2026-06-29,Morning,COD,Delivered,45,55,1146.88
172,340,1,MONTHLY200,247003,2026-06-29,Other,UPI,Delivered,45,41,722.51
173,311,5,,250002,2026-06-26,Evening,COD,Cancelled,45,43,742.76
174,71,8,PROTEIN25,251003,2026-06-13,Morning,UPI,Delivered,45,47,915.1
175,173,4,LOYALTY50,249402,2026-06-25,Evening,UPI,Delivered,45,38,653.12
176,351,13,EXPIRED5,251002,2026-06-23,Evening,COD,Delivered,45,31,620.88
177,31,7,FIRST50,250002,2026-06-12,Other,UPI,Delivered,45,54,1026.46
178,294,8,,251003,2026-06-23,Other,UPI,Delivered,45,20,1281.13
179,213,2,BULK150,250002,2026-06-26,Evening,UPI,Delivered,45,30,538.23
180,494,20,,247661,2026-06-24,Morning,UPI,Delivered,45,49,1000.76
181,79,18,,251002,2026-06-28,Afternoon,COD,Delivered,45,43,1591.52
182,240,14,PROTEIN25,247003,2026-06-12,Evening,UPI,Delivered,45,53,371.38
183,132,5,,249401,2026-05-15,Evening,COD,Delivered,45,30,627.89
184,303,4,,247661,2026-05-30,Morning,UPI,Delivered,45,52,742.76
185,94,7,SUMMER10,251001,2026-05-14,Evening,UPI,Cancelled,45,47,809.55
186,447,2,GYM20,251001,2026-06-21,Morning,UPI,Delivered,45,37,303.54
187,120,20,,247003,2026-06-29,Evening,UPI,Preparing,45,36,242.24
188,345,11,MONTHLY200,251002,2026-06-29,Evening,UPI,Delivered,45,21,824.53
189,401,20,NEWYEAR100,249401,2026-06-16,Evening,UPI,Delivered,45,35,222.55
190,303,12,,250002,2026-06-02,Evening,UPI,Delivered,45,29,235.14
191,385,7,,251002,2026-06-27,Evening,UPI,Delivered,45,34,981.41
192,325,14,LOYALTY50,247004,2026-05-12,Evening,COD,Delivered,45,29,192.24
193,156,9,,251001,2026-06-18,Morning,UPI,Delivered,45,41,371.38
194,439,10,SUMMER10,247232,2026-06-15,Evening,COD,Delivered,45,47,219.12
195,99,2,,247001,2026-06-29,Morning,COD,Delivered,45,33,497.47
196,85,7,,247003,2026-05-29,Morning,COD,Delivered,45,47,985.0
197,33,4,FLAT75,247004,2026-06-24,Morning,UPI,Delivered,45,51,1094.28
198,464,11,,249401,2026-06-13,Morning,COD,Delivered,45,39,742.76
199,233,10,FLAT75,247001,2026-06-29,Evening,UPI,Delivered,45,52,525.33
200,454,15,,247004,2026-06-01,Afternoon,UPI,Delivered,45,33,1171.82
201,425,18,,251001,2026-05-11,Morning,UPI,Delivered,45,34,389.4
202,93,1,,249401,2026-06-15,Evening,UPI,Delivered,45,40,222.55
203,143,11,,250001,2026-06-20,Evening,COD,Delivered,45,36,789.28
204,499,5,,247661,2026-06-26,Evening,UPI,Delivered,45,18,516.87
205,305,6,,251003,2026-06-28,Morning,UPI,Delivered,45,41,172.29
206,441,5,,251003,2026-06-08,Evening,COD,Delivered,45,41,985.0
207,355,8,,251003,2026-06-27,Evening,UPI,Delivered,45,36,687.34
208,270,9,,247004,2026-06-26,Evening,COD,Delivered,45,59,409.56
209,315,18,,250001,2026-06-22,Evening,UPI,Delivered,45,45,1106.15
210,3,14,PROTEIN25,250002,2026-05-31,Morning,COD,Delivered,45,41,396.56
211,334,12,PROTEIN25,247661,2026-05-26,Morning,UPI,Delivered,45,15,485.96
212,166,19,,249402,2026-04-20,Afternoon,UPI,Delivered,45,39,243.47
213,398,9,FESTIVE15,250002,2026-06-06,Morning,UPI,Delivered,45,26,486.66
214,440,10,,250002,2026-06-07,Afternoon,COD,Cancelled,45,42,166.85
215,311,11,,247661,2026-04-16,Morning,COD,Delivered,45,50,712.52
216,94,8,,247001,2026-06-25,Afternoon,UPI,Delivered,45,41,448.86
217,28,4,,247661,2026-06-28,Evening,UPI,Delivered,45,48,859.63
218,358,11,,247661,2026-05-26,Evening,UPI,Delivered,45,56,222.55
219,374,7,,247001,2026-05-30,Other,UPI,Delivered,45,27,824.87
220,67,10,,250002,2026-06-27,Other,UPI,Delivered,45,38,968.96
221,44,8,,250002,2026-03-24,Afternoon,UPI,Delivered,45,40,235.14
222,494,11,FLASH30,249402,2026-06-27,Evening,UPI,Delivered,45,36,508.7
223,435,9,,247232,2026-06-11,Afternoon,UPI,Delivered,45,18,242.24
224,29,5,,247003,2026-06-20,Afternoon,UPI,Delivered,45,29,1040.14
225,355,5,,247003,2026-06-12,Other,UPI,Delivered,45,47,758.86
226,71,7,,249401,2026-04-05,Evening,UPI,Delivered,45,48,242.24
227,377,20,MONTHLY200,249401,2026-06-21,Morning,UPI,Cancelled,45,45,980.03
228,39,15,,247661,2026-06-25,Other,UPI,Delivered,45,36,474.54
229,213,1,FLAT75,247003,2026-06-29,Morning,COD,Cancelled,45,52,890.31
230,333,4,,248003,2026-04-24,Other,COD,Delivered,45,50,276.57
231,54,4,,250002,2026-06-08,Evening,UPI,Delivered,45,33,166.85
232,237,19,,247001,2026-06-26,Morning,COD,Delivered,45,15,553.14
233,137,9,,250002,2026-06-10,Evening,UPI,Delivered,45,45,755.21
234,52,11,,247001,2026-06-27,Other,COD,Delivered,45,38,242.24
235,193,12,NEWYEAR100,250002,2026-05-02,Morning,UPI,Cancelled,45,58,484.48
236,494,11,,251001,2026-06-22,Morning,COD,Delivered,45,45,1000.76
237,433,1,FIRST50,247001,2026-05-16,Morning,COD,Delivered,45,26,235.14
238,167,15,,248003,2026-06-21,Morning,UPI,Delivered,45,39,619.43
239,212,5,,250001,2026-06-12,Morning,UPI,Delivered,45,57,222.55
240,18,20,FLASH30,251002,2026-05-17,Morning,COD,Delivered,45,15,242.24
241,278,12,,249402,2026-06-24,Afternoon,UPI,Delivered,45,57,660.14
242,10,5,,250001,2026-06-04,Morning,UPI,Delivered,45,43,222.55
243,356,14,NEWYEAR100,249402,2026-04-27,Morning,COD,Delivered,45,42,1098.56
244,347,10,,247003,2026-06-11,Evening,UPI,Delivered,45,56,235.14
245,96,6,,247003,2026-06-29,Morning,UPI,Delivered,45,51,1331.16
246,373,11,,247661,2026-05-05,Morning,COD,Delivered,45,18,984.92
247,321,4,FIRST50,247232,2026-06-21,Other,COD,Delivered,45,25,603.47
248,448,13,FESTIVE15,251002,2026-06-15,Other,UPI,Delivered,45,22,222.55
249,82,19,,248003,2026-06-09,Evening,UPI,Delivered,45,39,829.71
250,434,2,,247003,2026-06-21,Morning,COD,Delivered,45,38,1079.64
251,166,6,,249401,2026-06-25,Evening,UPI,Delivered,45,46,1262.83
252,287,9,,247232,2026-06-24,Morning,UPI,Delivered,45,28,371.38
253,16,18,,247661,2026-06-20,Evening,COD,Delivered,45,62,742.76
254,72,11,,251001,2026-05-27,Evening,COD,Delivered,45,40,554.4
255,321,9,FESTIVE15,247232,2026-06-03,Evening,COD,Delivered,45,52,517.35
256,309,10,,247001,2026-05-27,Evening,UPI,Cancelled,45,43,1096.21
257,87,12,,251002,2026-06-23,Evening,COD,Delivered,45,37,553.14
258,496,11,,247001,2026-02-21,Evening,COD,Delivered,45,39,464.79
259,386,7,,248003,2026-06-25,Evening,COD,Delivered,45,41,222.55
260,113,13,,247004,2026-05-11,Evening,COD,Delivered,45,60,1001.1
261,331,10,SUMMER10,250002,2026-06-01,Morning,COD,Delivered,45,37,184.41
262,83,19,,248003,2026-06-28,Evening,COD,Delivered,45,38,464.79
263,487,18,,247232,2026-06-29,Evening,COD,Delivered,45,40,445.1
264,192,12,,250001,2026-06-02,Evening,UPI,Delivered,45,27,452.23
265,294,18,FESTIVE15,251001,2026-06-28,Other,UPI,Delivered,45,30,1085.73
266,154,16,,247232,2026-05-30,Evening,UPI,Cancelled,45,24,593.93
267,495,10,,251002,2026-06-13,Morning,UPI,Delivered,45,39,855.86
268,35,20,,251001,2026-06-27,Morning,UPI,Delivered,45,33,855.86
269,269,12,,249402,2026-05-15,Other,COD,Delivered,45,63,742.76
270,382,13,FLAT75,251001,2026-06-18,Evening,COD,Delivered,45,30,910.0
271,255,7,,251003,2026-06-01,Afternoon,COD,Delivered,45,47,758.86
272,428,18,FLASH30,249401,2026-06-29,Other,UPI,Out for Delivery,45,31,603.06
273,462,7,,250002,2026-06-15,Evening,UPI,Delivered,45,25,640.03
274,485,1,LOYALTY50,251002,2026-05-24,Evening,COD,Delivered,45,47,786.17
275,2,4,,249401,2026-06-24,Evening,UPI,Delivered,45,62,484.48
276,168,8,,247003,2026-06-26,Evening,UPI,Delivered,45,21,416.86
277,169,11,,247003,2026-06-25,Afternoon,UPI,Delivered,45,37,1088.16
278,393,13,,247667,2026-06-26,Other,UPI,Delivered,45,50,242.24
279,226,12,,247661,2026-04-27,Afternoon,UPI,Delivered,45,43,657.26
280,459,7,FIRST50,251002,2026-06-09,Other,COD,Delivered,45,55,407.69
281,405,7,,251002,2026-06-09,Morning,COD,Delivered,45,40,553.14
282,478,20,,248003,2026-04-21,Morning,COD,Cancelled,45,47,575.94
283,332,15,,247667,2026-05-18,Evening,COD,Delivered,45,44,277.83
284,206,11,,250002,2026-06-25,Other,UPI,Delivered,45,40,983.6
285,370,7,LOYALTY50,251001,2026-03-12,Afternoon,COD,Delivered,45,41,468.81
286,172,15,,251002,2026-04-28,Morning,UPI,Delivered,45,46,484.48
287,159,8,EXPIRED5,247232,2026-06-13,Morning,UPI,Delivered,45,19,705.62
288,14,14,,247003,2026-06-06,Afternoon,COD,Delivered,45,47,742.76
289,400,11,,247667,2026-06-20,Afternoon,UPI,Delivered,45,32,606.52
290,381,16,LOYALTY50,247003,2026-06-03,Other,COD,Delivered,45,30,422.41
291,409,6,,249402,2026-06-03,Other,COD,Delivered,45,27,242.24
292,286,11,,249402,2026-06-26,Other,UPI,Delivered,45,38,649.21
293,305,16,WELCOME10,249402,2026-06-24,Afternoon,UPI,Delivered,45,40,175.66
294,341,20,,247232,2026-05-21,Evening,UPI,Delivered,45,43,553.14
295,50,2,FLASH30,248003,2026-06-25,Morning,COD,Delivered,45,23,364.05
296,268,9,LOYALTY50,247661,2026-06-29,Other,UPI,Out for Delivery,45,61,868.42
297,61,18,WEEKEND15,247232,2026-05-31,Morning,UPI,Delivered,45,31,172.29
298,290,18,,247661,2026-06-26,Evening,UPI,Delivered,45,23,484.48
299,149,12,,247004,2026-06-23,Evening,UPI,Delivered,45,51,371.38
300,140,9,WELCOME10,248003,2026-05-30,Evening,UPI,Delivered,45,26,373.08
301,360,12,,247667,2026-06-18,Evening,COD,Delivered,45,55,742.76
302,41,9,REFER20,247004,2026-06-26,Morning,UPI,Delivered,45,47,1765.54
303,335,18,,250001,2026-04-09,Other,UPI,Delivered,45,30,412.93
304,438,12,,250002,2026-06-24,Evening,COD,Delivered,45,15,242.24
305,237,13,,247004,2026-06-16,Evening,COD,Delivered,45,50,276.57
306,157,19,,251002,2026-06-24,Afternoon,UPI,Delivered,45,54,382.24
307,195,8,FLASH30,249402,2026-05-16,Morning,COD,Delivered,45,31,314.79
308,443,13,,247232,2026-04-29,Evening,COD,Delivered,45,52,949.27
309,224,13,FLASH30,247661,2026-04-12,Other,COD,Delivered,45,25,496.78
310,105,4,,248003,2026-06-19,Evening,COD,Delivered,45,21,855.86
311,98,10,,248003,2026-06-29,Morning,UPI,Out for Delivery,45,38,276.57
312,222,16,,247004,2026-06-26,Afternoon,UPI,Delivered,45,53,588.07
313,66,18,,250002,2026-05-10,Evening,UPI,Delivered,45,32,371.38
314,57,8,,247004,2026-06-27,Other,UPI,Delivered,45,51,653.47
315,335,6,WEEKEND15,250002,2026-05-31,Afternoon,UPI,Delivered,45,69,576.54
316,350,5,,249402,2026-06-26,Morning,COD,Delivered,45,31,371.38
317,166,18,,251002,2026-02-19,Afternoon,COD,Delivered,45,15,414.53
318,93,13,NEWYEAR100,249402,2026-06-09,Other,UPI,Delivered,45,22,371.38
319,246,7,,247001,2026-06-29,Afternoon,UPI,Delivered,45,44,484.48
320,68,8,,251002,2026-06-26,Morning,UPI,Delivered,45,16,379.43
321,81,16,WEEKEND15,247661,2026-06-29,Evening,COD,Delivered,45,46,189.17
322,231,16,,247667,2026-06-28,Evening,UPI,Delivered,45,29,656.0
323,332,13,,247003,2026-06-23,Morning,UPI,Delivered,45,30,1187.86
324,141,1,,247667,2026-06-16,Evening,COD,Delivered,45,26,592.28
325,61,2,,247003,2026-06-29,Evening,UPI,Delivered,45,37,464.79
326,201,12,MONTHLY200,249401,2026-06-12,Evening,UPI,Delivered,45,20,276.57
327,420,12,,247004,2026-06-02,Morning,COD,Delivered,45,41,758.86
328,68,5,,251001,2026-06-13,Evening,COD,Delivered,45,46,222.55
329,44,7,LOYALTY50,248003,2026-04-17,Evening,COD,Delivered,45,19,672.93
330,64,19,LOYALTY50,247232,2026-06-01,Evening,UPI,Delivered,45,42,779.71
331,195,6,,251001,2026-05-22,Evening,COD,Delivered,45,43,741.64
332,188,15,,248003,2026-06-20,Evening,UPI,Delivered,45,21,556.22
333,147,9,,251001,2026-05-31,Evening,UPI,Delivered,45,38,235.14
334,218,12,,247001,2026-03-31,Morning,COD,Delivered,45,15,724.01
335,322,13,,247667,2026-06-11,Morning,UPI,Delivered,45,49,417.9
336,234,16,,247001,2026-05-05,Other,UPI,Delivered,45,36,242.24
337,142,20,,247667,2026-06-12,Morning,UPI,Delivered,45,38,613.62
338,266,8,,249401,2026-02-20,Morning,UPI,Delivered,45,25,379.43
339,433,10,BULK150,251003,2026-05-28,Other,UPI,Delivered,45,27,396.72
340,125,5,,251001,2026-06-19,Morning,COD,Delivered,45,55,222.55
341,343,5,,247661,2026-06-26,Other,UPI,Delivered,45,39,379.43
342,425,4,,247003,2026-05-25,Morning,UPI,Cancelled,45,23,1489.03
343,16,13,,250002,2026-06-17,Morning,UPI,Delivered,45,43,653.04
344,424,4,WELCOME10,249401,2026-06-11,Morning,COD,Delivered,45,30,731.47
345,369,16,,250002,2026-06-23,Other,COD,Delivered,45,26,726.72
346,485,18,,250002,2026-05-26,Morning,UPI,Delivered,45,30,511.71
347,220,7,,247661,2026-04-17,Evening,UPI,Delivered,45,41,222.55
348,159,4,,249402,2026-06-21,Afternoon,UPI,Delivered,45,19,624.52
349,404,11,,248003,2026-06-05,Evening,COD,Delivered,45,52,789.28
